"year","location","season","night","web","trap","recap","Taxa_sppcode","sex","age","reprod","mass","Taxa_genus","Taxa_species","count","Taxa_family","Taxa_order"
1989,"5pgrass",1,2,3,"93","n","dior","m","a","na","52"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"108","n","pgfv","m","a","st","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"114","n","pgfv","m","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"119","n","disp","f","a","na","120"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"120","n","dior","m","a","na","44"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,3,"142","n","pgfv","m","a","na","8.5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,5,"10","n","pgfv","m","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,5,"15","n","pgfv","m","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,5,"23","n","dior","m","a","st","49"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,5,"32","n","pgfv","f","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,5,"35","n","disp","m","a","na","82"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,5,"80","n","onar","f","a","na","20"," Onychomys"," arenicola",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,2,5,"90","n","dime","f","j","na","20"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,5,"93","n","dime","f","j","na","20"," Dipodomys"," merriami",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,5,"104","n","dior","f","a","na","47"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,5,"117","n","remg","m","a","na","10"," Reithrodontomys"," megalotis",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,2,5,"140","n","pgfv","m","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,2,5,"141","n","pgfv","m","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,2,"1","n","dior","m","a","na","48"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,2,"19","n","pgfv","f","j","na","5"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"2","n","dior","f","a","l","39.5"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"8","n","spsp","m","a","st","100"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",1,3,3,"11","n","disp","f","a","na","125"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"34","n","pgfv","f","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"35","n","spsp","f","a","na","50"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",1,3,3,"48","n","pgfv","f","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"55","n","pgfv","m","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"80","n","remg","f","j","na","6.5"," Reithrodontomys"," megalotis",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,3,3,"90","n","dior","m","a","na","49"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"92","n","pgfv","f","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"105","n","pgfv","f","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"108","n","pgfv","m","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"110","n","pgfv","f","a","na","6"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"144","n","disp","m","j","na","80"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,3,"144","n","pgfv","m","a","st","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,5,"5","n","spsp","m","a","st","100"," Spermophilus"," spilosoma",1,"Sciuridae","Rodentia"
1989,"5pgrass",1,3,5,"12","n","nemi","m","a","na","75"," Neotoma"," micropus",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,3,5,"23","n","dior","f","a","l","48"," Dipodomys"," ordii",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,5,"35","n","disp","f","a","na","130"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,5,"45","n","pgfv","m","a","na","8"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,5,"54","n","remg","m","j","na","4"," Reithrodontomys"," megalotis",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,3,5,"70","n","pgfv","f","a","na","7"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,5,"84","n","onar","f","j","na","11"," Onychomys"," arenicola",1,"Cricetidae","Rodentia"
1989,"5pgrass",1,3,5,"106","n","pgfv","f","a","na","11"," Perognathus"," flavus",1,"Heteromyidae","Rodentia"
1989,"5pgrass",1,3,5,"260","n","disp","m","a","st","140"," Dipodomys"," spectabilis",1,"Heteromyidae","Rodentia"
