"SITE","DATE","TRAPDAY","TAG","SPECIES","FATE","SEX","TESTES","VAGINA","NIPPLES","PREGNANT","MASS","STATION","CAPNUM","SEASON","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","count"
"T4","08/04/90",5,"A303",2,1,"1","3","0","0","0","15","8",1,"Summer","Rodentia","Muridae","Mus","musculus",1
"T1","03/28/01",1,"G303",4,1,"1","1",NA,NA,NA,"60","38",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","03/28/01",1,"G304",2,1,"1","1",NA,NA,NA,"17","12",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T5","03/28/01",2,"G304",2,2,"1","1",NA,NA,NA,"17","11",2,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","03/28/01",2,"G305",4,1,"2",NA,"1","2",NA,"55","68",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/28/01",2,"G306",4,1,"1","1",NA,NA,NA,"63","66",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","08/04/90",5,"A307",2,1,"2","0","1","1","0","5","10",1,"Summer","Rodentia","Muridae","Mus","musculus",1
"T1","03/28/01",2,"G307",4,1,"2",NA,"1","1",NA,"47","60",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","08/04/90",5,"A308",2,1,"1","3","0","0","0","17","4",1,"Summer","Rodentia","Muridae","Mus","musculus",1
"T1","03/28/01",2,"G308",4,1,"1","1",NA,NA,NA,"50","59",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/28/01",3,"G308",4,2,"1","1",NA,NA,NA,"50","60",2,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","08/04/90",5,"A309",2,1,"2","0","1","1","0","20","9",1,"Summer","Rodentia","Muridae","Mus","musculus",1
"T4","08/04/90",6,"A309",2,2,"2","0","1","1","0","20","9",2,"Summer","Rodentia","Muridae","Mus","musculus",1
"T1","03/28/01",2,"G309",4,1,"1","1",NA,NA,NA,"64","45",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","08/04/90",6,"A311",2,1,"2","0","1","1","0","10","6",1,"Summer","Rodentia","Muridae","Mus","musculus",1
"T5","03/28/01",2,"G311",6,1,"3",NA,NA,NA,NA,"115","19",1,"Spring","Rodentia","Muridae","Rattus","norvegicus",1
"T4","08/04/90",6,"A312",2,1,"2","0","1","1","0","4","12",1,"Summer","Rodentia","Muridae","Mus","musculus",1
"T4","03/28/01",2,"G312",2,1,"2",NA,"1","1",NA,"18","2",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","03/28/01",3,"G312",2,2,"2",NA,"1","1",NA,"18","3",2,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","03/28/01",2,"G313",2,1,"1","1",NA,NA,NA,"13","4",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T4","03/28/01",2,"G314",4,1,"1","1",NA,NA,NA,"42","5",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","03/28/01",3,"G314",4,2,"1","1",NA,NA,NA,"42","2",2,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T4","08/04/90",6,"A315",2,1,"1","3","0","0","0","20","4",1,"Summer","Rodentia","Muridae","Mus","musculus",1
"T1","03/28/01",3,"G315",4,1,"2",NA,"1","1",NA,"44","65",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","08/04/90",6,"A316",4,1,"1","3","0","0","0","45","6",1,"Summer","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/28/01",3,"G316",4,1,"1","1",NA,NA,NA,"52","61",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T5","08/04/90",6,"A317",4,1,"2","0","1","2","0","55","28",1,"Summer","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/28/01",3,"G317",4,1,"1","1",NA,NA,NA,"65","59",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/28/01",3,"G318",4,1,"1","1",NA,NA,NA,"50","46",1,"Spring","Rodentia","Cricetidae","Oryzomys","palustris",1
"T1","03/28/01",3,"G319",2,1,"2",NA,"1","1",NA,"11","45",1,"Spring","Rodentia","Muridae","Mus","musculus",1
"T1","03/28/01",3,"G320",2,1,"2",NA,"1","1",NA,"13","43",1,"Spring","Rodentia","Muridae","Mus","musculus",1
