"Date","Mound.ID","Animal.ID","Capture.Type","Sex","Repro","Animal.Mass","Taxa_kingdom","Taxa_phylum","Taxa_class","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","site","count"
"3/17/2005",13005,234,"N","M","NS",108,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/17/2005",10105,235,"N","M","NS",118,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",5505,174,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",7505,176,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",205,178,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",3905,179,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",7705,182,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",2405,183,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",6505,186,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",2405,189,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",3705,190,"RC","F","RL",135,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",7605,191,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",6505,192,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",12405,193,"N","F","RL",150,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",7205,195,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",13605,198,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",6905,200,"N","F","NR",63,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",11005,202,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",7405,204,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",1405,205,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",7805,206,"N","F","NR",91,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",13505,208,"N","M","NS",97,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",11205,209,"N","M","SC",148,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",6905,210,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",5905,211,"N","F","NR",102,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",5205,213,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",1505,218,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",105,220,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",8505,223,"N","F","RL",152,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",2705,224,"N","M","SC",90,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",13505,225,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",12505,229,"RC","F","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",705,231,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",2305,232,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
"3/18/2005",10105,235,"RC","M","-888",-888,"Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","spectabilis","KR_mark_recap",1
