"year","block","fire","trt","plot","spnum","Taxa_genus","Taxa_species","cover","Taxa_kingdom","Taxa_family"
2006,"Marheya",1,2,3,8,"Urochloa","mosambicensis",1,"Plantae",NA
2006,"Marheya",1,2,3,10,"Aristada","congesta barbicollis",0.75,"Plantae",NA
2006,"Marheya",1,2,3,11,"Chloris","virgatum",6,"Plantae","Poaceae"
2006,"Marheya",1,2,3,14,"Eragrostis","nidensis",4,"Plantae","Poaceae"
2006,"Marheya",1,2,3,19,"Heteropogon","contortus",29.5,"Plantae",NA
2006,"Marheya",1,2,3,23,"Tragus","berteronianus",1.25,"Plantae","Poaceae"
2006,"Marheya",1,2,3,30,"Limeum","teracarpum",2.25,"Plantae",NA
2006,"Marheya",1,2,3,31,"Indigofera","vicioides",1.5,"Plantae",NA
2006,"Marheya",1,2,3,43,"Chamaecrista","mimosoides",0.75,"Plantae",NA
2006,"Marheya",1,2,3,49,"Corchorus","asplenifolius",0.5,"Plantae",NA
2006,"Marheya",1,2,3,57,"Crotalaria","virgulata grantiana",1.5,"Plantae",NA
2006,"Marheya",1,2,3,71,"Heliotropium","steudneri",0.5,"Plantae","Boraginaceae"
2006,"Marheya",1,2,3,101,"Gisekia","c.f. africana",0.25,"Plantae",NA
2006,"Marheya",1,2,3,114,"Ipomoea","plebia africana",2.5,"Plantae","Convolvulaceae"
2006,"Marheya",1,2,3,120,"Tribulus","terrestris",1,"Plantae","Zygophyllaceae"
2006,"Marheya",1,2,4,1,"Bothriochloa","radicans",81.25,"Plantae","Poaceae"
2006,"Marheya",1,2,4,5,"Panicum","coloratum",8.25,"Plantae","Poaceae"
2006,"Marheya",1,2,4,8,"Urochloa","mosambicensis",17.75,"Plantae",NA
2006,"Marheya",1,2,4,14,"Eragrostis","nidensis",1.75,"Plantae","Poaceae"
2006,"Marheya",1,2,4,30,"Limeum","teracarpum",2.5,"Plantae",NA
2006,"Marheya",1,2,4,43,"Chamaecrista","mimosoides",0.75,"Plantae",NA
2006,"Marheya",1,2,4,57,"Crotalaria","virgulata grantiana",2,"Plantae",NA
2006,"Marheya",1,2,4,71,"Heliotropium","steudneri",4.5,"Plantae","Boraginaceae"
2006,"Marheya",1,2,4,95,"Phyllanthus","burchellii",0.75,"Plantae",NA
2006,"Marheya",1,2,4,96,"Phyllanthus","maderaspatensis",0.5,"Plantae",NA
2006,"Marheya",1,2,4,101,"Gisekia","c.f. africana",0.5,"Plantae",NA
2006,"Marheya",1,2,4,114,"Ipomoea","plebia africana",4,"Plantae","Convolvulaceae"
2006,"Marheya",1,2,5,1,"Bothriochloa","radicans",78.75,"Plantae","Poaceae"
